기관구분,자치구,행정동,행정동코드,시설명,도로명주소,위도,경도
의원,영등포구,영등포동,11190740.0,미소미의원,"서울특별시 영등포구 경인로 841, 영등포우체국 5층 (영등포동4가)",37.51653691808776,126.9059906624246
의원,영등포구,당산2동,11190560.0,당산삼보한의원,"서울특별시 영등포구 양평로 16, 601호 (당산동6가, 당산동 대정프라자)",37.532938407177,126.9043652095808
의원,영등포구,도림동,11190750.0,정담한의원,"서울특별시 영등포구 도신로 121, 2층 (도림동)",37.50859367525257,126.9051670754062
의원,영등포구,영등포동,11190740.0,거북이한의원,"서울특별시 영등포구 영중로 134-1, 문성빌딩 2층 (영등포동8가)",37.52829647170651,126.9061400573021
의원,영등포구,여의동,11190540.0,박상윤안과의원,"서울특별시 영등포구 여의대방로 383, 경도빌딩 (여의도동)",37.51937876259321,126.93145625040592
의원,영등포구,영등포동,11190740.0,샤인플란트치과의원,"서울특별시 영등포구 경인로 841, 서울영등포동4가우체국 4층 (영등포동4가)",37.51653691808776,126.9059906624246
의원,영등포구,영등포동,11190740.0,이상구신경과의원,서울특별시 영등포구 영등포로 216 (영등포동3가),37.51957072857256,126.90534931286764
의원,영등포구,문래동,11190760.0,연세우리소아청소년과의원,"서울특별시 영등포구 선유로 70, 209호 (문래동3가, 우리벤처타운2)",37.52022948795361,126.89013179664266
의원,영등포구,대림3동,11190720.0,경희태창한의원,"서울특별시 영등포구 도림로31길 4, 위너빌 3층 (대림동)",37.492712682289344,126.89591260700956
의원,영등포구,대림1동,11190700.0,인수한의원,"서울특별시 영등포구 신길로 49, 2층 (대림동)",37.4971619296475,126.90803928443582
의원,영등포구,대림1동,11190700.0,송원한의원,"서울특별시 영등포구 도림로 188-1, 2층 (대림동, 송서빌딩)",37.49590122590159,126.90204486175028
의원,영등포구,영등포동,11190740.0,명성한의원,"서울특별시 영등포구 경인로 883-2, 3층 (영등포동3가)",37.518116286443934,126.91077550376036
의원,영등포구,여의동,11190540.0,여의도이플러스치과의원,"서울특별시 영등포구 국제금융로2길 24, BNK금융타워 2층 (여의도동)",37.52425368812065,126.92488040503676
의원,영등포구,여의동,11190540.0,미앤드플라워치과의원,"서울특별시 영등포구 의사당대로 127 (여의도동, 롯데캐슬엠파이어 201호)",37.520242246695965,126.92637430129574
의원,영등포구,여의동,11190540.0,서울복음치과의원,"서울특별시 영등포구 국제금융로 86, 207,218호 (여의도동)",37.52019520957813,126.93174359192804
의원,영등포구,문래동,11190760.0,영등포정마취통증의학과의원,"서울특별시 영등포구 문래로 83, 아라비즈타워 2층 (문래동3가)",37.51992250886652,126.8913399231191
의원,영등포구,신길6동,11190680.0,가톨릭권정형외과의원,"서울특별시 영등포구 신길로 42, 3층 (신길동)",37.49647730030141,126.90862690732536
의원,영등포구,영등포동,11190740.0,윤문수비뇨기과의원,"서울특별시 영등포구 영중로 46, 4층 (영등포동5가)",37.52050463639483,126.90526381551044
의원,영등포구,영등포본동,11190730.0,예성내과의원,"서울특별시 영등포구 신길로 252, 202호 (영등포동, 영보빌딩)",37.51412144271966,126.91177218727526
의원,영등포구,당산1동,11190550.0,미앤미치과의원,서울특별시 영등포구 당산로 67 (당산동2가),37.52091119992062,126.89519268155222
의원,영등포구,영등포동,11190740.0,백내과의원,"서울특별시 영등포구 영중로 60, 유니온빌딩 (영등포동5가)",37.52152043391328,126.90527377290594
의원,영등포구,영등포동,11190740.0,당산치과의원,"서울특별시 영등포구 영중로 134-1, 문성빌딩 (영등포동8가)",37.52829647170651,126.9061400573021
의원,영등포구,신길3동,11190650.0,김정기내과의원,"서울특별시 영등포구 신길로 141, 지하1층 (신길동)",37.504985397516045,126.91025311888784
의원,영등포구,여의동,11190540.0,박태웅비뇨기과의원,"서울특별시 영등포구 여의대방로 379, 제일빌딩 (여의도동)",37.519199250275456,126.9308610486506
의원,영등포구,신길6동,11190680.0,명치과의원,서울특별시 영등포구 신길로 42 (신길동),37.49647730030141,126.90862690732536
의원,영등포구,당산2동,11190560.0,유진한의원,서울특별시 영등포구 당산로48길 2 (당산동6가),37.53412372337972,126.90258714652948
의원,영등포구,여의동,11190540.0,여의도예치과의원,"서울특별시 영등포구 여의대방로69길 28, 4층 (여의도동, 유성빌딩)",37.521455549759445,126.93019971480288
의원,영등포구,여의동,11190540.0,우일치과의원,서울특별시 영등포구 여의대방로 383 (여의도동),37.51937876259321,126.93145625040592
의원,영등포구,영등포동,11190740.0,미소최치과의원,서울특별시 영등포구 영중로 51-1 (영등포동6가),37.52094269783185,126.9046109989948
의원,영등포구,여의동,11190540.0,최승규치과의원,"서울특별시 영등포구 여의대방로 417, 201호 (여의도동)",37.52108916812013,126.93432434346366
의원,영등포구,여의동,11190540.0,여의도세브란스치과의원,"서울특별시 영등포구 국회대로70길 12, 201호 (여의도동, 대산빌딩)",37.52935643242902,126.9199209069422
의원,영등포구,영등포동,11190740.0,전명숙신경정신과의원,"서울특별시 영등포구 영중로 46, 2층 (영등포동5가)",37.52050463639483,126.90526381551044
의원,영등포구,영등포동,11190740.0,이재성의원,"서울특별시 영등포구 영등포로 254, 우성타워 A동 3층 (영등포동3가)",37.51867887997632,126.90956918167066
의원,영등포구,신길1동,11190630.0,이제영치과의원,"서울특별시 영등포구 여의대방로43라길 6, 201호 (신길동, 신길프라자)",37.50821775828488,126.92022146634883
의원,영등포구,당산1동,11190550.0,정해주한의원,"서울특별시 영등포구 당산로 67, 2층 (당산동2가, 재원빌딩)",37.52091119992062,126.89519268155222
의원,영등포구,양평2동,11190620.0,와이플란트치과의원,"서울특별시 영등포구 양평로 99 (양평동4가, 대명빌딩 4층)",37.53644941758196,126.89605830712073
의원,영등포구,양평2동,11190620.0,지노치과의원,"서울특별시 영등포구 양평로 127, 성산빌딩 (양평동5가)",37.537796992341,126.89346849922364
의원,영등포구,문래동,11190760.0,삼성드림소아청소년과의원,"서울특별시 영등포구 선유로 76, 301호 (문래동3가, 동국메뜨리앙)",37.52065228688053,126.88992217205796
의원,영등포구,당산1동,11190550.0,신의의원,서울특별시 영등포구 당산로 142-1 (당산동3가),37.527326105875495,126.89722401011412
의원,영등포구,영등포동,11190740.0,존스킨한의원,"서울특별시 영등포구 경인로 847, 3층 (영등포동3가)",37.51675964239848,126.90689955473344
의원,영등포구,영등포동,11190740.0,365엠씨람스의원,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",37.516967489646994,126.90665355759208
의원,영등포구,신길1동,11190630.0,노벨의원,"서울특별시 영등포구 도신로60길 2, 7층 (신길동, 미주메디컬빌딩)",37.51178684349387,126.91680241525307
의원,영등포구,영등포동,11190740.0,우렁찬한의원,"서울특별시 영등포구 영등포로 208-1, 2층 (영등포동4가)",37.51967448504126,126.90441250340812
의원,영등포구,당산2동,11190560.0,국민건강내과의원,"서울특별시 영등포구 양평로 16, 3,5층 (당산동6가, 당산동 대정프라자)",37.532938407177,126.9043652095808
의원,영등포구,당산1동,11190550.0,통달한의원,서울특별시 영등포구 당산로 90 (당산동1가),37.52285099899466,126.89625890763868
의원,영등포구,여의동,11190540.0,상쾌한이치과의원,서울특별시 영등포구 국제금융로 10 (여의도동),37.52497860197023,126.92529827586957
의원,영등포구,신길3동,11190650.0,최이비인후과의원,"서울특별시 영등포구 신길로 145, 2층 (신길동)",37.50521648160451,126.9103953652049
의원,영등포구,영등포동,11190740.0,원일한상룡내과의원,서울특별시 영등포구 영중로8길 6 (영등포동3가),37.51830536747401,126.90633921550588
의원,영등포구,여의동,11190540.0,김예원내과의원,"서울특별시 영등포구 국제금융로 70 (여의도동, 미원빌딩)",37.521429648114015,126.93064139254186
의원,영등포구,당산1동,11190550.0,이앤장치과의원,서울특별시 영등포구 영등포로 109 (당산동2가),37.52247557667423,126.89395272344454
의원,영등포구,신길3동,11190650.0,윤민소아청소년과의원,"서울특별시 영등포구 도신로 90, 3층 (신길동)",37.50692954448023,126.90247018348784
의원,영등포구,여의동,11190540.0,화안피부과의원,"서울특별시 영등포구 여의대방로65길 12, 305호 (여의도동, 에리트빌딩)",37.51963271958492,126.9300401163718
의원,영등포구,여의동,11190540.0,여의도한의원,"서울특별시 영등포구 의사당대로 108, 303호 (여의도동, 아일렉스)",37.52048215192743,126.92397202588658
의원,영등포구,당산1동,11190550.0,서울초이스치과의원,"서울특별시 영등포구 영등포로 130, 진로아파트 상가동 2층 206호 (당산동1가)",37.52065202535587,126.89633617079134
의원,영등포구,영등포동,11190740.0,명진한의원,"서울특별시 영등포구 국회대로50길 20, 218,219호 (영등포동7가, 포레나 영등포)",37.523383359074,126.90561327244777
의원,영등포구,여의동,11190540.0,여의도이치과의원,서울특별시 영등포구 국회대로 750 (여의도동),37.52827721411997,126.91650463821082
의원,영등포구,영등포동,11190740.0,행파한의원,"서울특별시 영등포구 영신로38길 16, 2층 (영등포동6가)",37.520733020498376,126.9029169395104
의원,영등포구,신길3동,11190650.0,노박의원,"서울특별시 영등포구 신길로 183, 노박빌딩 1~7층 (신길동)",37.50858932913862,126.91067605214997
의원,영등포구,영등포동,11190740.0,오정신건강의학과의원,"서울특별시 영등포구 영중로 45, E&A빌딩 4층 (영등포동6가)",37.52047500810838,126.90443746519368
의원,영등포구,도림동,11190750.0,도림편한내과의원,"서울특별시 영등포구 도신로15길 40, 3층 (도림동)",37.50861154409059,126.8965820582335
의원,영등포구,영등포동,11190740.0,이강원이비인후과의원,"서울특별시 영등포구 영신로 238, 301호 (영등포동8가, 미소프라자)",37.52856042300471,126.90421315604732
의원,영등포구,영등포동,11190740.0,늘사랑치과의원,"서울특별시 영등포구 영신로 238, 4층 (영등포동8가, 미소프라자)",37.52856042300471,126.90421315604732
의원,영등포구,대림3동,11190720.0,속편한내과의원,"서울특별시 영등포구 가마산로48길 16, 302-307호 (대림동, 신풍프라자)",37.50154272246802,126.90124958833545
의원,영등포구,영등포동,11190740.0,이플랜트치과의원,"서울특별시 영등포구 영등포로 216, 2층 (영등포동3가)",37.51957072857256,126.90534931286764
의원,영등포구,여의동,11190540.0,다이아몬드치과의원,"서울특별시 영등포구 여의동로3길 10 (여의도동,여의도자이501-203)",37.51817233170882,126.92605363734
의원,영등포구,문래동,11190760.0,세란의원,"서울특별시 영등포구 선유로 42, 1,2층 (문래동3가)",37.51766052704641,126.88914963832411
의원,영등포구,영등포동,11190740.0,내령당한의원,"서울특별시 영등포구 영신로 238, 3층 (영등포동8가, 미소로)",37.52856042300471,126.90421315604732
의원,영등포구,문래동,11190760.0,서울맑은치과의원,서울특별시 영등포구 당산로 45 (문래동3가),37.51870066745589,126.8945622064764
의원,영등포구,대림3동,11190720.0,휘담메디한의원,"서울특별시 영등포구 대림로35가길 7-1, 지하1,지상2,3층 (대림동)",37.49821189182872,126.89787344177763
의원,영등포구,당산1동,11190550.0,미소로한의원,"서울특별시 영등포구 당산로 132 (당산동3가,광명빌딩 2층)",37.52622412588031,126.89703918862446
의원,영등포구,대림1동,11190700.0,아이행복가정의학과의원,"서울특별시 영등포구 대림로22길 37, 1층 (대림동)",37.49559006668703,126.90429733715082
의원,영등포구,신길3동,11190650.0,박치과의원,"서울특별시 영등포구 도림로 323, 201호 (신길동, 건영상가)",37.50574372893092,126.90128862430224
의원,영등포구,신길1동,11190630.0,이영석치과의원,서울특별시 영등포구 영등포로 384 (신길동),37.51347737675984,126.92062004531796
의원,영등포구,대림1동,11190700.0,소망치과의원,"서울특별시 영등포구 도림로48길 4, 대림스타빌딩 (대림동)",37.49496181391181,126.90064579056728
의원,영등포구,신길3동,11190650.0,백정훈치과의원,"서울특별시 영등포구 신길로 141, 지하1층 (신길동)",37.504985397516045,126.91025311888784
의원,영등포구,여의동,11190540.0,윤이비인후과의원,"서울특별시 영등포구 여의대방로 383, 2층 (여의도동)",37.51937876259321,126.93145625040592
의원,영등포구,영등포동,11190740.0,봄여름가을겨울피부과의원,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 103호 (영등포동4가)",37.51707545285829,126.90334092163012
의원,영등포구,당산2동,11190560.0,바를연한의원,서울특별시 영등포구 양평로 59 (당산동5가),37.53467120486352,126.89983957853
의원,영등포구,당산2동,11190560.0,반듯한치과의원,서울특별시 영등포구 당산로 159 (당산동4가),37.52896406942159,126.89749312601646
의원,영등포구,당산2동,11190560.0,아이엘산부인과소아청소년과의원,"서울특별시 영등포구 양평로 32, 지하1,2,3층 (당산동6가)",37.53366055999165,126.90291374980282
의원,영등포구,양평2동,11190620.0,연세그린의원,서울특별시 영등포구 양평로 129 (양평동5가),37.5379117832661,126.893248617739
의원,영등포구,당산2동,11190560.0,밝은최안과의원,"서울특별시 영등포구 양평로 16, 2층 (당산동6가, 대정프라자)",37.53285054418834,126.90459451006464
