관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630100000801054,교통단속,2,서울특별시 중구 마장로1길 21 (신당동),37.56855,127.01219,11020690.0,신당동,중구,원본정상,
202630100000801055,교통단속,2,서울특별시 중구 다산로 289 (신당동),37.5681,127.01495,11020690.0,신당동,중구,원본정상,
202630100000801056,교통단속,2,서울특별시 중구 마장로 34 (신당동),37.56792,127.01358,11020690.0,신당동,중구,원본정상,
202630100000801011,생활방범,4,서울특별시 중구 동호로17길 252-6,37.55169,127.00511,11020700.0,다산동,중구,원본정상,
202630100000801012,생활방범,4,서울특별시 중구 동호로18길 35,37.55627,127.00918,11020700.0,다산동,중구,원본정상,
202630100000801013,생활방범,3,서울특별시 중구 을지로299,37.56687,127.0094,11020590.0,광희동,중구,원본정상,
202630100000801014,생활방범,4,서울특별시 중구 을지로15길 32,37.56654,126.99343,11020600.0,을지로동,중구,원본정상,
202630100000801015,교통단속,2,서울특별시 중구 통일로 30 (봉래동1가),37.55831,126.97188,11020540.0,회현동,중구,원본정상,
202630100000801016,교통단속,2,서울특별시 중구 중림로 15,37.55894,126.96535,11020680.0,중림동,중구,원본정상,
202630100000801017,교통단속,2,서울특별시 중구 퇴계로 131 (충무로2가),37.5611,126.98661,11020550.0,명동,중구,원본정상,
202630100000801018,교통단속,2,서울특별시 중구 퇴계로 132 (남산동3가),37.5608,126.9864,11020550.0,명동,중구,원본정상,
202630100000801019,교통단속,2,서울특별시 중구 마른내로 8 (저동2가),37.56457,126.98886,11020600.0,을지로동,중구,원본정상,
202630100000801020,교통단속,2,서울특별시 중구 청계천로 106 (수표동),37.56793,126.98939,11020550.0,명동,중구,원본정상,
202630100000801021,교통단속,2,서울특별시 중구 수표로 74 (수표동),37.56725,126.98952,11020550.0,명동,중구,원본정상,
202630100000801022,교통단속,2,서울특별시 중구 수표로 54-1 (을지로3가),37.56584,126.98985,11020600.0,을지로동,중구,원본정상,
202630100000800571,생활방범,2,서울특별시 중구 동호로11길 88-2 (신당동),37.55163,127.00747,11020700.0,다산동,중구,원본정상,
202630100000800572,생활방범,4,서울특별시 중구 동호로11나길 7 (신당동),37.55254,127.00773,11020700.0,다산동,중구,원본정상,
202630100000800573,생활방범,2,서울특별시 중구 동호로11길 22 (신당동),37.55413,127.00948,11020700.0,다산동,중구,원본정상,
202630100000800574,생활방범,4,서울특별시 중구 다산로 141 (신당동),37.55653,127.01122,11020700.0,다산동,중구,원본정상,
202630100000800575,생활방범,4,서울특별시 중구 다산로21길 24 (신당동),37.55817,127.01118,11020700.0,다산동,중구,원본정상,
202630100000800576,생활방범,3,서울특별시 중구 다산로15길 19 (신당동),37.55697,127.01074,11020700.0,다산동,중구,원본정상,
202630100000800577,생활방범,3,서울특별시 중구 청구로17길 40 (신당동),37.55941,127.01177,11020700.0,다산동,중구,원본정상,
202630100000800578,생활방범,3,서울특별시 중구 청구로17길 28-29,37.55983,127.01218,11020700.0,다산동,중구,원본정상,
202630100000800579,생활방범,3,서울특별시 중구 동호로20길 85 (신당동),37.56157,127.00968,11020700.0,다산동,중구,원본정상,
202630100000800580,생활방범,3,서울특별시 중구 청구로17길 20 (신당동),37.56022,127.01183,11020700.0,다산동,중구,원본정상,
202630100000800581,생활방범,5,서울특별시 중구 동호로20길 34-29 (신당동),37.56025,127.01037,11020700.0,다산동,중구,원본정상,
202630100000800582,생활방범,4,서울특별시 중구 동호로20길 36 (신당동),37.55951,127.00913,11020700.0,다산동,중구,원본정상,
202630100000800583,생활방범,4,서울특별시 중구 동호로20길 34-10 (신당동),37.55912,127.00987,11020700.0,다산동,중구,원본정상,
202630100000800584,생활방범,3,서울특별시 중구 동호로20다길 26 (신당동),37.55849,127.01008,11020700.0,다산동,중구,원본정상,
202630100000800024,생활방범,3,서울특별시 중구 난계로 6길 8,37.56291,127.02505,11020650.0,신당5동,중구,원본정상,
202630100000800025,생활방범,2,서울특별시 중구 다산로42나길 12 앞,37.56366,127.01842,11020650.0,신당5동,중구,원본정상,
202630100000800026,생활방범,4,서울특별시 중구 다산로42나길 12 앞,37.56389,127.01892,11020650.0,신당5동,중구,원본정상,
202630100000800027,생활방범,3,서울특별시 중구 다산로33가길 17 앞,37.56338,127.01428,11020690.0,신당동,중구,원본정상,
